Name,NRIC,Nationality,Age,Gender,Date(s) of Offence,Offence,Time of Offence,Monetary amount involved ,Statutory Provision,Penal Code Term Tenure,Penal Code Fine Guideline,Repeated Offender,Employment Status,Canning ,Jail term, Fine
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Unemployed,4,1,1000
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,960
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Unemployed,5,1,900
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,9,1,1080
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2400
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Employed,9,1,480
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1800
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Unemployed,4,1,720
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Employed,0,5,2000
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,840
Charles Kow,S1234568K,Singaporean,38,Male,4/10/18,Misappropriation,,10050,408,15,1220,Yes,Unemployed,0,9,1464
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,9,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Unemployed,0,6,1000
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3100,408,15,500,Yes,Employed,0,2,600
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5200,408,15,800,No,Unemployed,0,5,800
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840
Clement Lee,S4567895F,Singaporean,45,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Employed,4,1,900
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,9,1,900
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3600
Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1200
Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,No,Employed,5,1,500
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Employed,9,1,400
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,720
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Unemployed,0,5,2400
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,700
Charles Kow,S1234568K,Singaporean,38,Male,4/10/15,Misappropriation,,10000,408,15,1240,Yes,Unemployed,0,8,1488
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,9,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3200,408,15,500,Yes,Unemployed,0,2,600
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Employed,4,1,1000
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5300,408,15,800,No,Employed,0,5,800
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840
Clement Lee,S4567895F,Singaporean,44,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,5,1,1080
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,1,900
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,2000,Yes,Employed,0,7,2400
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Employed,8,1,400
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Unemployed,4,1,720
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,No,Employed,0,5,2000
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,700
Charles Kow,S1234568K,Singaporean,38,Male,4/10/15,Misappropriation,,10000,408,15,1300,Yes,Unemployed,0,7,1560
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Unemployed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3220,408,15,500,No,Employed,0,2,500
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5400,408,15,800,No,Unemployed,0,5,800
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840
Clement Lee,S4567895F,Singaporean,35,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,5,1,1080
Tan Ah Kow,S1234567X,Singaporean,51,Male,10/01/2016-04/04/2016,Misappropriation,,35000,408,15,5000,No,Employed,0,12,5000
Charles Goha,G1234568T,Singaporean,38,Male,5/9/18,Misappropriation,4:00:00 PM,800,"406 , 34",7,150,No,Unemployed,0,3,150
Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1200
Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Unemployed,5,1,600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Employed,8,1,400
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,600
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Unemployed,0,5,2400
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,700
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1230,Yes,Employed,0,8,1476
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Unemployed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3400,408,15,500,No,Unemployed,0,2,500
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5200,408,15,800,No,Employed,0,5,800
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,4,1,1080
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1100
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Unemployed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3000,408,15,500,Yes,Employed,0,2,600
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,6000,408,15,800,No,Employed,0,5,800
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840
Clement Lee,S4567895F,Singaporean,44,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Unemployed,6,1,900
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,8,1,1080
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,No,Employed,0,6,3000
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Unemployed,8,1,400
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,720
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,Yes,Unemployed,0,5,2400
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,700
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1300,Yes,Employed,0,8,1560
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3230,408,15,500,Yes,Unemployed,0,2,600
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Unemployed,4,1,1000
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5400,408,15,800,No,Employed,0,5,800
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,4,1,1080
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,1,1080
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,No,Employed,0,7,2000
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Employed,8,1,900
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,3000,Yes,Unemployed,0,6,3600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Employed,8,1,480
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,600
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,Yes,Unemployed,0,5,2400
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,700
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1100,Yes,Employed,0,8,1320
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Unemployed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Employed,0,6,1000
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3430,408,15,500,No,Unemployed,0,2,500
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,960
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840
Clement Lee,S4567895F,Singaporean,43,Male,3/4/11,Outrage Modesty,,,354(1),2,700,No,Unemployed,4,1,700
Tan Ah Kow,S1234567X,Singaporean,51,Male,10/01/2016-04/04/2016,Misappropriation,,35000,408,15,5000,Yes,Employed,0,12,6000
Charles Go,G1234569T,Malaysian,34,Male,5/9/19,Misappropriation,4:00:00 PM,920,"406 , 34",7,200,No,Employed,0,3,200
Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Unemployed,0,5,1200
Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Unemployed,8,1,400
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Employed,0,10,1800
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,720
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Unemployed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Unemployed,0,5,960
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,700
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,Yes,Employed,4,1,1080
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,1,1080
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3600
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,No,Employed,9,1,500
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,2000,Yes,Unemployed,0,7,2400
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Employed,8,1,480
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1800
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,720
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,No,Unemployed,0,5,2000
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,840
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1300,No,Employed,0,9,1300
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Unemployed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3400,408,15,500,Yes,Employed,0,2,600
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Employed,4,1,1000
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,960
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Unemployed,5,0.5,700
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,800,Yes,Unemployed,4,1,960
Tan Ah Kow,S1234567X,Singaporean,51,Male,10/01/2016-04/04/2016,Misappropriation,,35000,408,15,5000,Yes,Employed,0,12,6000
Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Employed,5,1,900
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Unemployed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,8,1,1080
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2400
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,8,1,900
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,3000,Yes,Employed,0,6,3600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Unemployed,8,1,400
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,720
Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,22000,"406 , 34",7,2000,No,Unemployed,0,5,2000
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Unemployed,5,1,700
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1400,Yes,Employed,0,8,1680
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Unemployed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,4000,408,15,500,No,Employed,0,2,500
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Unemployed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,No,Employed,0,5,800
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840
Clement Lee,S4567895F,Singaporean,47,Male,3/4/11,Outrage Modesty,,,354(1),2,940,Yes,Unemployed,6,1,1128
Tan Ah Kow,S1234567X,Singaporean,51,Male,10/01/2016-04/04/2016,Misappropriation,,35000,408,15,5000,No,Unemployed,0,12,5000
Charles Kia,G1234565T,Singaporean,38,Male,5/9/13,Misappropriation,4:00:00 PM,930,"406 , 34",7,400,No,Employed,0,3,400
Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1200
Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Unemployed,5,1,600
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Employed,8,1,400
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2160
Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Employed,4,1,600
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,No,Unemployed,0,5,800
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840
Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,840
Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1500,Yes,Employed,0,6,1800
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Unemployed,8,1,0
Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,Yes,Employed,0,6,1200
Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,2800,408,15,500,No,Employed,0,2,500
San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200
Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,960
Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Unemployed,5,0.5,700
Clement Lee,S4567895F,Singaporean,50,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Employed,4,1,900
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Unemployed,0,8,1320
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Employed,8,1,1080
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Unemployed,0,7,2400
Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1100
Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,Yes,Employed,9,1,600
Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,11000,"406 , 34",7,2000,No,Unemployed,0,7,2000
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Employed,8,1,480
Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2160
