Sl. No,Name,NRIC,Nationality,Age,Gender,Date(s) of Offence,Offence,Time of Offence,Monetary amount involved ,Statutory Provision,Penal Code Term Tenure,Penal Code Fine Guideline,Repeated Offender,Employment Status,Canning ,Jail term,Fine
54,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,4100,408,15,500,No,Employed,0,2,0.5
55,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3430,408,15,500,No,Unemployed,0,2,0.5
56,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,No,Employed,9,1,0.5
57,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3890,408,15,500,No,Unemployed,0,2,0.5
58,Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,No,Employed,5,1,0.5
59,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,No,Employed,9,1,0.5
60,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,No,Unemployed,5,1,0.5
61,Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,3300,"406 , 34",7,500,No,Unemployed,0,2,0.5
62,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,No,Unemployed,5,1,0.5
63,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,No,Employed,8,1,0.5
64,Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,3000,"406 , 34",7,500,No,Employed,0,2,0.5
65,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,No,Employed,5,1,0.5
66,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,No,Employed,8,1,0.5
67,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,4000,408,15,500,No,Employed,0,2,0.5
68,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,2900,408,15,500,No,Employed,0,2,0.5
69,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,2800,408,15,500,No,Employed,0,2,0.5
70,Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,4000,"406 , 34",7,500,No,Employed,0,2,0.5
71,Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,Yes,Unemployed,5,1,0.6
72,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Employed,4,1,0.6
73,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Employed,4,1,0.6
74,Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,Yes,Employed,5,1,0.6
75,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,0.6
76,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3230,408,15,500,Yes,Unemployed,0,2,0.6
77,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Unemployed,5,1,0.6
78,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,0.6
79,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Unemployed,5,1,0.6
80,Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,3200,"406 , 34",7,500,Yes,Employed,0,2,0.6
81,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Employed,4,1,0.6
82,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3000,408,15,500,Yes,Unemployed,0,2,0.6
83,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,Yes,Unemployed,8,1,0.6
84,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,0.6
85,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3400,408,15,500,Yes,Employed,0,2,0.6
86,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,0.6
87,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3450,408,15,500,Yes,Employed,0,2,0.6
88,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,0.6
89,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,0.6
90,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3500,408,15,500,Yes,Unemployed,0,2,0.6
91,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,0.6
92,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Unemployed,5,1,0.6
93,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Employed,5,1,0.6
94,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,Yes,Employed,9,1,0.6
95,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,0.6
96,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,0.6
97,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,Yes,Employed,14,1,0.6
98,Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,Yes,Unemployed,5,1,0.6
99,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Unemployed,5,1,0.6
100,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3100,408,15,500,Yes,Employed,0,2,0.6
101,Sze Jie,S3456784S,Singaporean,51,Male,16/9/19,Outrage Modesty,,,354(1),2,500,Yes,Employed,5,1,0.6
102,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,Yes,Employed,8,1,0.6
103,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,Yes,Unemployed,5,1,0.6
104,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,0.6
105,Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,2800,"406 , 34",7,500,Yes,Employed,0,2,0.6
106,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3200,408,15,500,Yes,Unemployed,0,2,0.6
107,Xin Yi,S3456784L,Singaporean,27,Female,10/9/19,Misappropriation,,3560,"406 , 34",7,500,Yes,Unemployed,0,2,0.6
108,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Unemployed,4,1,0.6
109,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3000,408,15,500,Yes,Unemployed,0,2,0.6
110,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),1,500,Yes,Unemployed,8,1,0.6
111,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Employed,4,1,0.6
112,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3000,408,15,500,Yes,Employed,0,2,0.6
113,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,0.7
114,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,700,No,Employed,4,1,0.7
115,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,0.7
116,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,0.7
117,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Unemployed,5,0.5,0.7
118,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,0.7
119,Clement Lee,S4567895F,Singaporean,43,Male,3/4/11,Outrage Modesty,,,354(1),2,700,No,Unemployed,4,1,0.7
120,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,0.7
121,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Unemployed,5,0.5,0.7
122,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,0.7
123,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,6,1,0.7
124,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,0.7
125,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Unemployed,5,1,0.7
126,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,0.7
127,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,0.7
128,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,0.7
129,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,0.7
130,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,1,0.7
131,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,0.7
132,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,5,0.5,0.7
133,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Unemployed,5,0.5,0.7
134,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,No,Unemployed,5,0.5,0.7
135,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,No,Employed,6,1,0.7
136,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,0.72
137,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Unemployed,4,1,0.72
138,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,0.72
139,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,0.72
140,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,0.72
141,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,0.72
142,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,0.72
143,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,0.72
144,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,0.72
145,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Employed,4,1,0.72
146,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Unemployed,4,1,0.72
147,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5200,408,15,800,No,Employed,0,5,0.8
148,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5300,408,15,800,No,Employed,0,5,0.8
149,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,No,Unemployed,0,5,0.8
150,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5200,408,15,800,No,Unemployed,0,5,0.8
151,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,No,Employed,0,5,0.8
152,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,No,Unemployed,0,5,0.8
153,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,No,Employed,0,5,0.8
154,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,6000,408,15,800,No,Employed,0,5,0.8
155,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5400,408,15,800,No,Unemployed,0,5,0.8
156,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5400,408,15,800,No,Employed,0,5,0.8
157,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,0.84
158,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,6,1,0.84
159,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,0.84
160,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
161,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
162,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,0.84
163,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
164,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
165,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,0.84
166,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
167,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
168,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,0.84
169,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
170,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,0.84
171,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,0.84
172,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,0.84
173,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,6,1,0.84
174,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
175,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,0.84
176,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,6,1,0.84
177,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,1,0.84
178,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,0.84
179,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
180,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,0.84
181,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,0.84
182,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
183,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,0.84
184,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
185,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,0.84
186,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,0.84
187,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,0.84
188,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,0.84
189,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,0.84
190,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,6,1,0.84
191,Jia Yong,S3456784L,Singaporean,39,Male,13/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,6,1,0.84
192,Jia Hao,S3456784L,Singaporean,23,Male,9/9/19,Outrage Modesty,,,354(1),2,900,No,Employed,9,2,0.9
193,Yi Wei,S3456784Z,Singaporean,47,Male,15/9/19,Misappropriation,,5000,408,15,900,No,Unemployed,0,6,0.9
194,Hui Jie,S3456784Z,Singaporean,45,Male,11/9/19,Outrage Modesty,,,354(1),2,900,No,Unemployed,9,2,0.9
195,Jing Yi,S3456784R,Singaporean,43,Female,14/9/19,Misappropriation,,4500,"406 , 34",7,900,No,Employed,0,3,0.9
